Lead ID,First Name,Last Name,Email,Job Title,Industry,Company Name,Company Size,Lead Source,Lead Status,Last Activity Date,AI Interaction Score,Social Media Profile URL
905399f5-3d36-4296-838b-e41c1a5d2229,James,Larson,rebeccareyes@lynch.com,"Engineer, building services",Tech,Tucker Group,1000,Referral,Converted,2025-04-27,16,http://torres.info/
7eb6cc6a-49d2-44d2-8971-013fcf1b862e,Jennifer,Lane,tonyahuff@ortiz.org,"Sound technician, broadcasting/film/video",Retail,Pratt-Morgan,50,Social Media,In Progress,2025-04-04,22,https://romero.com/
3e628a34-c873-4c2e-9b55-5f8e3c448030,Jasmine,Harrell,lisacollins@gmail.com,Armed forces logistics/support/administrative officer,Retail,Frye Ltd,50,LinkedIn,New,2025-05-16,37,https://singh.com/
ab27d700-1717-4059-ad9d-23a4e7be61db,Paul,Carr,erinfloyd@kennedy.com,"Runner, broadcasting/film/video",Finance,Simpson-Carey,50,Social Media,New,2025-07-03,26,http://johnson.com/
6c90ebec-9ca3-41aa-b054-d26817cfbca1,Evan,Park,thomas99@nicholson.com,Sales executive,Retail,"Holmes, Solomon and Jones",1000,Referral,Disqualified,2025-01-08,58,http://www.davis.com/
da995904-5c03-4206-bdc1-7a65ef49a9bb,Jeff,Conner,earcher@stanley.com,"Surveyor, land/geomatics",Retail,Trevino-Doyle,100,Referral,In Progress,2025-01-19,57,https://hudson.com/
65cd6cf5-6e25-47b2-984c-59a1d3b76547,Megan,Williams,meyertammy@hotmail.com,"Education officer, environmental",Tech,Johnson LLC,500,Referral,Disqualified,2025-01-09,89,http://moore-brown.com/
cc270bfe-6601-419d-9410-6de6e82418fc,Glenda,Anderson,uramirez@hicks.org,Building surveyor,Healthcare,Rogers-Young,250,Social Media,New,2025-01-14,74,https://payne.info/
58bb59ea-fa1e-429d-bf7b-1aa29c967633,Jessica,Ward,mary06@yahoo.com,Commissioning editor,Tech,Ross-Jimenez,50,LinkedIn,Contacted,2025-05-16,54,http://www.wallace-williams.com/
7a9f427f-5797-4072-8e05-00c7f15e1069,Patrick,Allen,jonathan62@yahoo.com,Scientific laboratory technician,Healthcare,Clark-Johnson,250,Cold Outreach,In Progress,2025-02-16,46,http://mccann.net/
0c832c7c-0575-48f7-9647-c053850b6d1e,Brandi,Carlson,michael90@yahoo.com,"Engineer, materials",Finance,Walker LLC,250,Social Media,Converted,2025-04-30,20,https://andrade.com/
b6840807-888e-419e-9d81-5670d92e8835,Scott,Norris,hstrickland@gmail.com,"Production assistant, radio",Marketing,Roberts Inc,100,Referral,New,2025-04-18,13,http://trevino.org/
95a6799c-d2f3-4266-ae5e-e03b3f97985c,Brittany,Smith,tiffanytaylor@hotmail.com,Retail merchandiser,Retail,Ferrell-Wilkerson,500,Referral,Contacted,2025-01-03,26,http://landry-cruz.biz/
